idx,matchtype,partid,ppartid
2827,0,n2788,2788
2828,0,n2789,2789
2829,0,n2790,2790
2830,0,n2791,2791
2831,0,n2792,2792
2832,0,n2793,2793
2833,0,n2794,2794
2834,0,n2794,2795
2835,0,n2796,2796
2836,0,n2795,2797
2837,0,n2798,2798
2838,1,n2797,undefined
2839,0,n2799,2799
2840,0,n2800,2800
2841,0,n2801,2801
2842,0,n2802,2802
2843,0,n2803,2803
2844,0,n2804,2804
2845,0,n2805,2805
2846,0,n2806,2806
2847,0,n2807,2807
2848,0,n2808,2808
2849,0,n2808,2809
2850,0,n2810,2810
2851,1,n2809,undefined
2852,0,n2811,2811
2853,0,n2812,2812
2854,0,n2813,2813
2855,0,n2816,2816
2856,0,n2814,2814
2857,0,n2817,2817
2858,0,n2817,2822
2859,0,n2815,2815
2860,0,n2818,2818
2861,0,n2819,2819
2862,0,n2820,2820
2863,0,n2821,2821
2864,0,n2821,2826
2865,1,n2822,undefined
2866,0,n2824,2824
2867,0,n2823,2823
2868,0,n2825,2825
2869,0,n2827,2827
2870,0,n2828,2828
2871,0,n2831,2831
2872,0,n2830,2830
2873,0,n2829,2829
2874,0,n2832,2832
2875,0,n2833,2833
2876,0,n2834,2834
2877,0,n2835,2835
2878,0,n2836,2836
2879,0,n2837,2837
2880,0,n2838,2838
2881,0,n2839,2839
2882,0,n2840,2840
2883,0,n2842,2842
2884,0,n2841,2841
2885,0,n2843,2843
2886,0,n2844,2844
2887,0,n2845,2845
2888,0,n2846,2846
2889,0,n2847,2847
2890,0,n2848,2848
2891,0,n2849,2849
2892,0,n2850,2850
2893,0,n2851,2851
2894,0,n2852,2852
2895,0,n2853,2853
2896,0,n2855,2855
2897,0,n2854,2854
2898,0,n2856,2856
2899,0,n2857,2857
2900,0,n2858,2858
2901,0,n2859,2859
2902,0,n2860,2860
2903,0,n2862,2862
2904,0,n2861,2861
2905,0,n2864,2864
2906,0,n2863,2863
2907,0,n2866,2866
2908,0,n2865,2865
2909,0,n2867,2867
2910,0,n2868,2868
2911,0,n2869,2869
